sample_id,pr_page_screenshot,ci_check_status,merged_despite_failed_checks,jira_ticket_screenshot
https://github.com/apache/kafka/pull/16705,pr_page_screenshot.png,"No CI checks were recorded for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs.' There are no passed, failed, or required checks visible. The PR was approved by reviewers cadonna (Member) and eduwercamacaro (Contributor) and merged by cadonna into apache:trunk on Nov 13, 2024.",No. There were no failed required checks. The PR had 0 checks recorded (workflow runs completed with no jobs). The PR was merged normally with reviewer approvals and no CI check failures detected.,jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17586,pr_page_screenshot.png,"No CI checks were run for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs'. No checks passed or failed. The PR was labeled 'ci-approved' by maintainer chia7712, indicating manual CI approval. The PR received an approval review from chia7712.","No. The PR was merged with no CI checks run at all (0 checks). There were no failed required checks. The maintainer (chia7712) manually approved the PR with a 'ci-approved' label and merged it into apache:trunk on Oct 24, 2024.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17722,pr_page_screenshot.png,"No CI checks were run for this PR. The Checks tab shows 0 checks with the message 'Workflow runs completed with no jobs'. There are no passed, failed, or pending checks. The PR was approved by reviewer chia7712 and merged into apache:trunk on Nov 9, 2024. Reviewers mimaison and junrao had pending review status (not yet reviewed) at the time of merge.","No - The PR was merged with 0 CI checks run (no checks at all, neither passed nor failed). There were no failed required checks; rather, no checks were executed. The PR was merged based on code review approval from chia7712 without any CI pipeline results.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17736,pr_page_screenshot.png,"No automated CI checks were recorded for this PR (Checks: 0, 'Workflow runs completed with no jobs'). The PR used the Apache Kafka project's manual CI approval process - FrankYang0529 added the 'ci-approved' label on Nov 11, 2024. chia7712 approved the code review and merged the PR on Nov 26, 2024. No passed or failed checks are listed since no automated workflow jobs ran on the final commit (34294cb).","No. The PR was merged with no failed checks. There were no automated CI checks recorded (0 checks). The project uses a manual 'ci-approved' label workflow, which was applied before merge. No required checks appear to have been violated.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17750,pr_page_screenshot.png,"No CI checks were run for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs'. There are no passed, failed, or pending checks. The PR received approving reviews from lianetm and jeffkbkim, and was merged by dajac into apache:trunk on Nov 13, 2024.","No. The PR was merged with zero CI checks configured/run (Checks: 0, 'Workflow runs completed with no jobs'). There were no failed required checks because no checks existed. The PR was merged based on code review approvals from lianetm and jeffkbkim, without any CI/CD check requirements.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17867,pr_page_screenshot.png,"The Checks tab shows 0 checks with the message 'Workflow runs completed with no jobs'. No CI/check runs are recorded on this PR — no passed checks, no failed checks, and no required checks are displayed. The PR was approved by reviewer cmccabe with 'LGTM', and the author CalvinConfluent indicated they had a 'green build' (likely verified externally). The PR was merged by cmccabe on Nov 26, 2024.",No. There are no failed checks recorded. The PR has 0 checks on the Checks tab (workflow runs completed with no jobs). The PR was merged after reviewer approval without any visible CI check failures on GitHub.,jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17918,pr_page_screenshot.png,"No CI checks were recorded for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs'. There are no passed, failed, or pending checks. The PR received an approval review from dajac (LGTM) and was merged by lianetm into apache:trunk on Nov 26, 2024.","No. The PR was merged with zero CI checks recorded (no checks ran at all, so there were no failed required checks). It was merged based on reviewer approval (dajac approved) without any CI check results.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/17948,pr_page_screenshot.png,"No CI checks were executed for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs.' No checks passed or failed because none were run. The PR was labeled 'ci-approved' by committer chia7712, serving as a manual approval to bypass CI checks for this documentation-only change (README.md update). The reviewer chia7712 approved the changes and merged the PR.","No. The PR was merged without any failed required checks because no CI checks ran at all (0 checks). The committer (chia7712) applied the 'ci-approved' label to bypass CI requirements, which is an accepted practice for trivial documentation-only changes. The PR was approved by reviewer chia7712 and merged on Nov 27, 2024.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/18031,pr_page_screenshot.png,"No CI checks were run for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs'. There are no passed, failed, or pending checks. The PR received 2 approving reviews from AndrewJSchofield and lianetm before being merged.","No. The PR was merged by dajac into apache:trunk on Dec 5, 2024, but there were no CI checks configured or executed (0 checks). Since no checks ran, there were no failed required checks. The merge proceeded with reviewer approvals only.",jira_ticket_screenshot.png
https://github.com/apache/kafka/pull/18079,pr_page_screenshot.png,"No CI checks were run for this PR. The Checks tab shows 'Checks 0' with 'Workflow runs completed with no jobs'. There were no passed, failed, or required checks. The PR received an approval review from dajac and was merged by lianetm into apache:trunk on Dec 10, 2024.",No. There were no failed required checks because no CI checks were configured or ran for this PR (0 checks total). The PR was merged with a reviewer approval from dajac but without any CI check results.,jira_ticket_screenshot.png
